arbID,Zoning District
457, "PAR
458, "PAR
459, "PAR
460, "M1-
461, "C4-
462, "PAR
463, "R7
464, "PAR
465, "PAR
466, "PAR
467, "PAR
468, "PAR
469, "PAR
470, "PAR
471, "PAR
472, "R
473, "PAR
474, "M1-
475, "R5
476, "PAR
477, "R6
478, "C4-
479, "R3-
480, "C8-
481, "PAR
482, "PAR
483, "R
484, "PLAYGROUN
485, "R3-
486, "R5
487, "PAR
488, "PAR
489, "PAR
490, "PAR
491, "R4
492, "PAR
493, "PAR
494, "R7
495, "PAR
496, "PAR
497, "PAR
498, "PAR
499, "PAR
500, "R5
501, "PAR
502, "PAR
503, "PAR
504, "PLAYGROUN
505, "PAR
506, "R7
507, "PAR
508, "PAR
509, "PAR
510, "PAR
511, "PAR
512, "R6
513, "PAR
514, "R6
515, "R5
516, "R7
517, "R7
518, "R3-
519, "PAR
520, "PAR
521, "R6
522, "PLAYGROUN
523, "PAR
524, "PAR
525, "PAR
526, "R5
527, "M1-
528, "PLAYGROUN
529, "PAR
530, "PAR
531, "R
532, "PAR
533, "PAR
534, "PAR
535, "PAR
536, "PAR
537, "M3-
538, "PAR
539, "PAR
540, "PLAYGROUN
541, "PAR
542, "PAR
543, "M1-
544, "R8
545, "PAR
546, "PAR
547, "PAR
548, "PAR
549, "PAR
550, "PLAYGROUN
551, "PAR
552, "PAR
553, "PAR
554, "PLAYGROUN
555, "PAR
556, "PAR
557, "PAR
558, "R
559, "PAR
560, "PAR
561, "PAR
562, "PAR
563, "M2-
564, "PAR
565, "PAR
566, "C6-
567, "PAR
568, "PAR
569, "PAR
570, "PAR
571, "PAR
572, "PAR
573, "PAR
574, "PAR
575, "R6
576, "PAR
577, "PAR
578, "PAR
579, "PLAYGROUN
580, "PAR
581, "PAR
582, "PAR
583, "R6
584, "PAR
585, "PAR
586, "PAR
587, "PAR
588, "PAR
589, "PAR
590, "PAR
591, "PAR
592, "PAR
593, "PAR
594, "PAR
595, "C1-6
596, "PLAYGROUN
597, "PAR
598, "PAR
599, "PAR
600, "PAR
601, "PAR
602, "PLAYGROUN
603, "PAR
604, "PAR
605, "PAR
606, "R
607, "M1-
608, "PAR
609, "PAR
610, "PAR
611, "R8
612, "PAR
613, "PAR
614, "PAR
615, "PAR
616, "PAR
617, "PAR
618, "PAR
619, "PLAYGROUN
620, "PLAYGROUN
621, "R8
622, "PAR
623, "PAR
624, "PLAYGROUN
625, "PAR
626, "PAR
627, "PAR
628, "PAR
629, "PAR
630, "PAR
631, "PLAYGROUN
632, "PAR
633, "PAR
634, "PAR
635, "R8
636, "PAR
637, "PLAYGROUN
638, "R4
639, "PAR
640, "PAR
641, "R4
642, "PAR
643, "PAR
644, "R4
645, "PAR
646, "PAR
647, "R
648, "PAR
649, "R4-
650, "PAR
651, "R2
652, "PAR
653, "R6
654, "C8-
655, "PAR
656, "PAR
657, "R3-
658, "PAR
659, "PAR
660, "R4
661, "R3
662, "R4-
663, "PAR
664, "PAR
665, "PAR
666, "R7
667, "R
668, "R4-
669, "PAR
670, "PAR
671, "PAR
672, "R4
673, "PAR
674, "PUBLIC PLAC
675, "PAR
676, "PAR
677, "PAR
678, "PAR
679, "PAR
680, "R4
681, "PAR
682, "R3-
683, "PLAYGROUN
684, "R
685, "R7
686, "PAR
687, "PAR
688, "PAR
689, "R3
690, "C4-
691, "R4
692, "PAR
693, "PAR
694, "R1-2
695, "R2
696, "R7
697, "PAR
698, "PAR
699, "PAR
700, "PAR
701, "R4
702, "R5
703, "PAR
704, "PAR
705, "R4-
706, "PAR
707, "PAR
708, "PAR
709, "PAR
710, "R5
711, "PAR
712, "PAR
713, "R3
714, "PAR
715, "R4
716, "R3-
717, "R5
718, "R6
719, "R3-
720, "PAR
721, "PAR
722, "PLAYGROUN
723, "PAR
724, "C4-2
725, "R7-
726, "R5
727, "PAR
728, "PAR
729, "PAR
730, "PAR
731, "R
732, "R4-
733, "PAR
734, "PAR
735, "R3-
736, "R
737, "PAR
738, "C4-
739, "C4-
740, "R6
741, "PAR
742, "R
743, "PAR
744, "R3-
745, "R3
746, "PLAYGROUN
747, "R7
748, "PAR
749, "PAR
750, "R
751, "PAR
752, "PAR
753, "R
754, "R
755, "PAR
756, "PAR
757, "BALL FIEL
758, "PLAYGROUN
759, "PUBLIC PLAC
760, "M1-
761, "PAR
762, "R
763, "C8-
764, "PAR
765, "C4-
766, "PAR
767, "PAR
768, "R3-
769, "PAR
770, "R6
771, "PAR
772, "R2
773, "PAR
774, "R4
775, "R7
776, "R
777, "R3
778, "R
779, "R
780, "PAR
781, "R3-
782, "R
783, "PAR
784, "R
785, "R4-
786, "R4-
787, "PAR
788, "C4-
789, "PAR
790, "PLAYGROUN
791, "PAR
792, "PAR
793, "PAR
794, "PLAYGROUN
795, "R4
796, "PAR
797, "PAR
798, "PAR
799, "PAR
800, "R3-
801, "PLAYGROUN
802, "R3
803, "PAR
804, "R6
805, "R3
806, "R
807, "R
808, "PAR
809, "PAR
810, "R3-
811, "PAR
812, "C8-
813, "C4-5
814, "PAR
815, "R4
816, "PLAYGROUN
817, "PAR
818, "M1-
819, "R3-
820, "R4
821, "PAR
822, "PAR
823, "PAR
824, "R
825, "PAR
826, "R5
827, "PAR
828, "R4
829, "R4
830, "PAR
831, "PAR
832, "R5
833, "R
834, "C
835, "R
836, "R4
837, "PLAYGROUN
838, "R
839, "M1-
840, "PLAYGROUN
841, "R
842, "R4
843, "R4-
844, "R5
845, "R3
846, "C4-
847, "R4-
848, "R4-
849, "PLAYGROUN
850, "PAR
851, "PAR
852, "R
853, "PLAYGROUN
854, "R3
855, "PAR
856, "M3-
857, "R5
858, "PAR
859, "PAR
860, "PAR
861, "PAR
862, "PAR
863, "R5
864, "R5
865, "PAR
866, "R5
867, "R
868, "PAR
869, "PAR
870, "PAR
871, "R
872, "R
873, "R4
874, "R
875, "PAR
876, "PAR
877, "R7
878, "R5
879, "PAR
880, "PAR
881, "PAR
882, "PAR
883, "R3
884, "M1-
885, "PAR
886, "PAR
887, "PAR
888, "R2
889, "PAR
890, "PAR
891, "PAR
892, "PAR
